Biometric_PAX_Scanned,Successful_Biometric_Flight_Indicator,Eligible_Biometric_DEP_PAX_Indicator,Eligible_Biometric_Flight_Indicator,DOM_INTL_Indicator,new_start_date_date_format,Total_DEP_Pax,Gate_Ref,host_carrier_code,flight_number,scheduled_departure_station_code,departure_station_code,scheduled_arrival_station_code,scheduled_departure_date_local,scheduled_departure_time_local,actual_departure_date_local,departure_gate,completed_flight_indicator,new_Gate_Ref,new_Start_Date,BCR,%_Eligible_Flights,Usage_on_Eligible_Flights,BCR_on_Eligible_Flights,Max_achievable_BCR,Flight_Saturation
130,1,149,1,INTL,2021-01-02,149,SFOG4,UA,1189,SFO,SFO,SJD,2023-04-03,09:05,2023-04-03,G4,1,SFOG4,2021-01-02,0.87248322,1.0,1.0,0.87248322,1.0,1.0
0,0,0,0,INTL,,145,SFOF4,UA,1881,SFO,SFO,SJD,2023-04-08,11:02,2023-04-08,F4,1,,,0.0,0.0,,,0.0,0.0
246,1,274,1,INTL,2021-01-02,274,SFOG4,UA,194,SFO,SFO,MUC,2023-04-08,13:25,2023-04-08,G4,1,SFOG4,2021-01-02,0.89781022,1.0,1.0,0.89781022,1.0,1.0
158,1,198,1,INTL,2021-01-02,198,SFOG7,UA,60,SFO,SFO,MEL,2023-04-06,23:20,2023-04-07,G7,1,SFOG7,2021-01-02,0.7979798,1.0,1.0,0.7979798,1.0,1.0
0,0,0,0,INTL,,166,SFOE11,UA,1542,SFO,SFO,YVR,2023-04-02,14:00,2023-04-02,E11,1,,,0.0,0.0,,,0.0,0.0
312,1,332,1,INTL,2021-01-02,332,SFOG12,UA,871,SFO,SFO,TPE,2023-04-05,14:00,2023-04-05,G12,1,SFOG12,2021-01-02,0.93975904,1.0,1.0,0.93975904,1.0,1.0
251,1,337,1,INTL,2021-01-02,337,SFOG5,UA,954,SFO,SFO,TLV,2023-04-02,19:50,2023-04-02,G5,1,SFOG5,2021-01-02,0.74480712,1.0,1.0,0.74480712,1.0,1.0
0,0,206,1,INTL,2021-01-02,206,SFOG13,UA,917,SFO,SFO,AKL,2023-04-08,23:00,2023-04-08,G13,1,SFOG13,2021-01-02,0.0,1.0,0.0,0.0,1.0,0.0
0,0,0,0,INTL,,89,SFOF3,UA,821,SFO,SFO,MEX,2023-04-02,13:12,2023-04-02,F3,1,,,0.0,0.0,,,0.0,0.0
238,1,250,1,INTL,2021-01-02,250,SFOG5,UA,893,SFO,SFO,ICN,2023-04-06,10:35,2023-04-06,G5,1,SFOG5,2021-01-02,0.952,1.0,1.0,0.952,1.0,1.0
0,0,0,0,INTL,,60,SFOF4,UA,1271,SFO,SFO,MEX,2023-04-04,10:44,2023-04-04,F4,1,,,0.0,0.0,,,0.0,0.0
